case_id,category,question_type,split,question,reference_answer,reference_claims,forbidden_claims,relevant_chunk_uids,review_status,reviewer,review_notes
elderly_ticket_011,elderly_ticket,paraphrase,test,在河源市实行政府定价或政府指导价管理的旅游景区，60至64岁的老年人可以享受怎样的门票优惠？,可以享受门票半价优惠。,"[""河源市对60至64岁老年人实行门票半价优惠。""]","[""河源市所有景区对60至64岁老年人免费。"", ""河源市对65岁以上老年人在政府定价景区也实行半价。""]","[""15d2e06b82e9fd9ac8f1019b0cc7e4ecefe14ac57d2fbaf29c3f5a7a992110a5""]",approved,user_reviewed,
elderly_ticket_012,elderly_ticket,paraphrase,test,2026年，丹霞山对60周岁及以上、不满65周岁的老年人提供怎样的门票优惠？,提供半价优惠（凭有效身份证件购买半价门票）。,"[""丹霞山2026年对60-64岁老年人实行半价门票。""]","[""丹霞山对60-64岁老年人免门票。"", ""丹霞山2026年重阳节优惠全年有效。""]","[""87d1a19f4d819ef2f17ba5ffe4c3aaf27e0686f2218e203a9edc3e973f52b6d8""]",approved,user_reviewed,
elderly_ticket_013,elderly_ticket,multi_context,test,在广州和武汉这两个城市，对于65周岁及以上的老年人，在政府指导价管理的景区，门票政策分别是什么？,广州：65周岁及以上老年人凭有效证件免收门票。武汉：通常对65周岁以上老年人执行免票或免费开放政策。,"[""广州政府指导价景区对65岁以上老年人免门票。"", ""武汉政府指导价景区通常对65岁以上老年人免门票。""]","[""广州对65岁以上老年人门票半价。"", ""武汉对65岁以上老年人门票半价。""]","[""e4183f497338fbda5d348d33e0d2e52d42ed2d5e80c94f3ec120c2e989b3dc32"", ""e976c55f030d6cdb3e01c41556357483365df7f2b98547244912bb4376a9402e""]",approved,user_reviewed,
elderly_ticket_014,elderly_ticket,multi_context,test,在武汉市和福州市，针对65周岁以上老年人，政府投资建设的景区在门票和代步工具（如观光车、缆车）方面有哪些不同的优惠政策？,武汉：65周岁以上老年人可免首道门票，但代步工具是否优惠未明确，需以景区公示为准。福州：65周岁以上老年人免门票，且乘坐政府投资建设的国有景区观光车、缆车可享受半价。,"[""武汉政府定价景区对65岁以上老年人免首道门票。"", ""福州65岁以上老年人免景区门票。"", ""福州国有景区观光车、缆车对65岁以上老年人半价。""]","[""武汉所有景区代步工具对65岁以上老年人免费。"", ""福州所有景区代步工具对65岁以上老年人半价。""]","[""e976c55f030d6cdb3e01c41556357483365df7f2b98547244912bb4376a9402e"", ""61314fdf3156669e53ff0a60d18e16f73990393a6d4f552845b65ad1a363430a""]",approved,user_reviewed,
elderly_ticket_015,elderly_ticket,multi_context,test,福州市对65周岁以上老年人免门票的政策，是否可以作为全国所有景区的统一标准？,不能。全国没有统一的老年人门票优惠标准，各地政策不同，具体以景区当地规定为准。,"[""福州的免票政策仅适用于福州市。"", ""全国没有统一的老年人门票优惠标准。""]","[""福州的免票政策可以推广到全国所有景区。"", ""全国所有景区对65岁以上老年人都免票。""]","[""61314fdf3156669e53ff0a60d18e16f73990393a6d4f552845b65ad1a363430a"", ""4bee622e43174a7c44435920f4cb1207bea387f627388f16cd1854d2548ea3c4""]",approved,user_reviewed,
elderly_ticket_016,elderly_ticket,multi_context,test,在深圳市政府投资景区，60岁以上老年人可以免费游览，那么全国其他城市是否也应执行同样的免费政策？为什么？,不能。因为全国没有统一的老年人门票优惠政策，各地政策不同。深圳的政策仅适用于深圳市政府投资景区，其他地区的政策可能不同，不能直接套用深圳的规定。,"[""全国没有统一的老年人门票优惠政策"", ""深圳市政府投资景区对60岁以上老年人免费"", ""其他地区的政策可能不同，不能直接套用深圳的规定""]","[""全国所有景区都应对60岁以上老年人提供免费门票"", ""深圳市老年人可以凭老年证在全国任意景区免费游览""]","[""4bee622e43174a7c44435920f4cb1207bea387f627388f16cd1854d2548ea3c4"", ""385357b5b6d20e55dd8ead30bf908210a63ff1c6e2d3117186ecc3d8f2d70396""]",approved,user_reviewed,
elderly_ticket_017,elderly_ticket,unanswerable,test,老年人前往黄山风景区，是否有门票优惠？,知识库中未提供黄山风景区的门票优惠政策信息，无法回答。建议查询黄山官方渠道获取准确信息。,[],[],[],approved,user_reviewed,
elderly_ticket_018,elderly_ticket,unanswerable,test,老年人参观西安秦始皇兵马俑博物馆，是否可以免费？,知识库中未提及西安秦始皇兵马俑博物馆的老年人门票政策，信息不足，无法回答。请参考该景区官方公告。,[],[],[],approved,user_reviewed,
elderly_ticket_019,elderly_ticket,noise_conflict,test,张大爷65岁，他想乘坐火车从北京去上海，请问他可以购买半价老人票吗？,不可以。我国铁路没有面向所有老年人的全国统一‘老人票’价格规则，具体票价应以承运企业公布的条件为准。,"[""我国铁路没有全国统一的老年人票价优惠"", ""老年人乘坐火车是否优惠需依据承运企业规定""]","[""全国所有火车都为65岁以上老年人提供半价票"", ""老年人凭身份证即可在火车站购买半价票""]","[""743aa1c979ef06337887bd2708ada7d3764a8d05d63f0f79b63f3a15b96a142e""]",approved,user_reviewed,
elderly_ticket_020,elderly_ticket,noise_conflict,test,李奶奶今年68岁，想去故宫参观，她在网上看到很多景区对65岁以上老人免票，所以她认为故宫也应该免票，请问对吗？,不对。故宫博物院规定60周岁以上老年人凭有效身份证件原件享受大门票半价优惠，并非免票。专馆优惠为5元每人。故宫没有65岁以上免票的规定。,"[""故宫博物院对60周岁以上老年人实行大门票半价优惠"", ""故宫没有65岁以上免票的规定""]","[""故宫对65岁以上老年人免票"", ""68岁老人可以在故宫享受免费门票""]","[""0d3741bc50c4adbbe827278e0cb2ed5def37be441d93d857fe48caf5faa1db53""]",approved,user_reviewed,
flight_safety_001,flight_safety,single_hop,dev,登机后，如果安全带指示灯亮起，旅客应该怎么做？,必须系好安全带。,"[""安全带指示灯亮起时必须系好安全带"", ""为防范突发颠簸，建议整个航程保持安全带系好""]","[""安全带指示灯亮起时可以不系安全带"", ""只有起降时才需要系安全带""]","[""8455a4f5618aa67c4a3b2c362e98f5f71a62ff6a72324828416cd4030f78fde4""]",approved,user_reviewed,
flight_safety_002,flight_safety,single_hop,dev,如何估算只标注了电压和容量的充电宝的额定能量？,使用公式 Wh = V × mAh ÷ 1000 进行估算。,"[""可用 Wh = V × mAh ÷ 1000 估算额定能量"", ""无法从清晰标识计算额定能量的产品可能被拒绝运输""]","[""充电宝额定能量可以直接从容量和电压相乘得到而无需除以1000"", ""所有标注电压和容量的充电宝都能被接受""]","[""dea0a8ba17a2413efa290042efc44018e00c2fe846a922b120d0ec29bf45e8b6""]",approved,user_reviewed,
flight_safety_003,flight_safety,single_hop,dev,在航空器内，关于火种和吸烟有哪些规定？,航空器内禁止使用火种和吸烟，包括电子烟。,"[""航空器内禁止使用火种和吸烟，包括电子烟"", ""电子设备应按航空公司和机组要求使用""]","[""在飞机上可以吸电子烟"", ""只有传统香烟被禁止，电子烟允许""]","[""73a2b505e07c4b9320aea16255ac556812913fde9c0177b7436ab054566a3a8c""]",approved,user_reviewed,
flight_safety_004,flight_safety,single_hop,dev,对于禁止随身携带但可以托运的物品，旅客有哪些处理方式？,可以按安检机构指引办理托运、自行处置或在机场条件允许时暂存。,"[""禁止随身但允许托运的物品可按安检机构指引办理托运"", ""可自行处置或在机场条件允许时暂存""]","[""所有禁止随身携带的物品都必须托运"", ""机场一定会提供暂存服务""]","[""f24a18db984413d00c4fe4f5c537068dc9d0df7b241449691ca7567923f6ff30""]",approved,user_reviewed,
flight_safety_005,flight_safety,single_hop,test,自2025年6月28日起，境内航班携带充电宝有哪些关于CCC标识的要求？,禁止携带没有CCC标识或CCC标识不清晰的充电宝，安检时应保证产品铭牌和CCC标识完整、清楚、可辨认。,"[""自2025年6月28日起，境内航班禁止旅客携带没有CCC标识、CCC标识不清晰的充电宝"", ""安检时应保证产品铭牌和CCC标识完整、清楚、可辨认""]","[""有CCC标识的充电宝就一定可以携带"", ""CCC标识要求仅适用于充电宝，不涉及其他电子产品""]","[""abb9b8d641e54e739ff6b9971061249c679c4da6deeaa945f6331716a3cb614e""]",approved,user_reviewed,
flight_safety_006,flight_safety,single_hop,test,乘坐中国境内航班时，哪些充电宝是禁止携带的？,没有CCC标识、CCC标识不清晰、属于被召回型号或批次的充电宝，禁止携带乘坐境内航班。充电宝通常不得托运。,"[""没有CCC标识的充电宝禁止携带乘坐境内航班"", ""CCC标识不清晰的充电宝禁止携带"", ""属于被召回型号或批次的充电宝禁止携带"", ""充电宝通常不得托运""]","[""只要充电宝有CCC标识就可以携带"", ""充电宝可以放入托运行李""]","[""1f2a355e9f6c3929c4258805867235d3c2512a295f981d3c320f976ad48cec79""]",approved,user_reviewed,
flight_safety_007,flight_safety,single_hop,test,关于酒精饮料的航空运输，有哪些主要规定？,酒精饮料不可随身携带。托运时需有清晰标识和零售包装，每个容器不超过5L；体积百分含量24%及以下通常不限总量，超过24%但不超过70%时每名旅客托运总量不超过5L，超过70%不得携带或托运。,"[""酒精饮料不可随身携带"", ""托运时每个容器不超过5L"", ""体积百分含量24%及以下通常不限托运总量"", ""体积百分含量超过24%但不超过70%时每名旅客托运总量不超过5L"", ""体积百分含量超过70%不得携带或托运""]","[""酒精饮料可以随身携带少量"", ""所有酒精饮料托运总量均无限制""]","[""eb6c0e8885ff7c295366753710177a66299350e2124d474d1b10602b680c1e86""]",approved,user_reviewed,
flight_safety_008,flight_safety,single_hop,test,额定能量在100Wh至160Wh之间的充电宝，乘坐飞机时有哪些携带要求？,额定能量超过100Wh但不超过160Wh的充电宝，必须事先获得航空公司批准，只能随身携带，每名旅客最多携带两块。额定能量超过160Wh的充电宝不得作为普通旅客行李携带。,"[""额定能量超过100Wh但不超过160Wh的充电宝需航空公司批准"", ""此类充电宝只能随身携带"", ""每名旅客最多携带两块"", ""额定能量超过160Wh的充电宝不得作为普通旅客行李携带""]","[""额定能量100Wh至160Wh的充电宝可以放在托运行李中"", ""额定能量100Wh至160Wh的充电宝不需要航空公司批准""]","[""eef5a59fb2105a2f74f4e0970918a5969dcec75b163f850343ec96333bc66461""]",approved,user_reviewed,
flight_safety_009,flight_safety,paraphrase,test,乘坐国内航班时，旅行中自用的化妆品携带有什么具体规定？,每种限带一件，容器容积不得超过100mL，并应接受开瓶检查；限制判断看容器标称容积，而不是瓶内剩余量。牙膏和剃须膏每种限带一件且不得超过100g或100mL。,"[""每种自用化妆品限带一件"", ""容器容积不得超过100mL"", ""应接受开瓶检查"", ""限制判断看容器标称容积"", ""牙膏和剃须膏每种限带一件且不得超过100g或100mL""]","[""自用化妆品可以携带多件"", ""只要瓶内剩余量不超过100mL就可以""]","[""5c82f39b6579876bcfae28cf419620cf3602e14628a4c4396839eab059ca1bfd""]",approved,user_reviewed,
flight_safety_010,flight_safety,paraphrase,test,哪些物品不适合放在托运行李中？,现金、珠宝、有价证券、重要文件、数码电子产品、易碎或易腐物品不宜夹入托运行李。锂电池等易燃易爆物品不得违规托运。,"[""现金不宜放入托运行李"", ""珠宝不宜放入托运行李"", ""有价证券不宜放入托运行李"", ""重要文件不宜放入托运行李"", ""数码电子产品不宜放入托运行李"", ""易碎或易腐物品不宜放入托运行李"", ""锂电池等易燃易爆物品不得违规托运""]","[""所有贵重物品都可以放在托运行李中"", ""锂电池可以放入托运行李""]","[""1fc8da816529a80c6415db8c0ae9ca2cb95ae3c0c7cf4cbf5b643bb625bd9c16""]",approved,user_reviewed,
flight_safety_011,flight_safety,paraphrase,test,当托运行李在安检时被发现有可疑，安检机构会如何处理？,安检机构可以实施开箱包检查，排除疑点后方可放行；旅客应配合确认行李归属和检查程序。,"[""托运行李须经过民航行李安检设备检查。"", ""发现可疑物品时，安检机构可以实施开箱包检查。"", ""旅客应配合确认行李归属和检查程序。"", ""需要航空公司批准的特殊物品应先取得同意承运证明。"", ""禁止随身但可托运的物品可按安检机构指引办理托运、自行处置或暂存。""]","[""安检人员可以直接没收可疑物品。"", ""特殊物品不需要航空公司批准即可携带。""]","[""6d986927ce4597b4ad1c21e630401948df1fd67d098be851cd1f81ed9a5ce6e7""]",approved,user_reviewed,
flight_safety_012,flight_safety,paraphrase,test,登机后如果没有按照登机牌就坐，可以自己换位置吗？,不可以，应按照登机牌指定座位入座，不得自行随意换座。,"[""旅客应按登机牌指定座位入座，不得自行随意换座。"", ""安全带指示灯亮起时必须系好安全带。"", ""紧急出口座位不能安排不具备应急协助能力的旅客。"", ""老人、幼童、孕妇、行动不便或身体条件不适合的旅客不应占用紧急出口座位。"", ""滑行、起飞、下降和颠簸阶段不要离开座位或打开行李架。""]","[""旅客可以随意换座位。"", ""紧急出口座位可以堆放行李。""]","[""8455a4f5618aa67c4a3b2c362e98f5f71a62ff6a72324828416cd4030f78fde4""]",approved,user_reviewed,
flight_safety_013,flight_safety,multi_context,test,旅客如何计算充电宝的额定能量？如果标识不清楚无法计算，安检会如何处理？另外，在客舱内使用电子设备时应遵循什么要求？,额定能量计算公式为Wh = V × mAh ÷ 1000。无法从清晰标识计算额定能量的产品可能被拒绝运输。在客舱内，电子设备应按航空公司和机组要求使用。,"[""额定能量可通过Wh = V × mAh ÷ 1000估算。"", ""无法计算额定能量的产品可能被拒绝运输。"", ""旅客及其行李应依法接受民用航空安全检查。"", ""航空器内电子设备应按航空公司和机组要求使用。"", ""不得妨碍安检人员履行职责。""]","[""只要充电宝有标识就一定能通过安检。"", ""客舱内可以随意使用电子设备。""]","[""dea0a8ba17a2413efa290042efc44018e00c2fe846a922b120d0ec29bf45e8b6"", ""73a2b505e07c4b9320aea16255ac556812913fde9c0177b7436ab054566a3a8c""]",approved,user_reviewed,
flight_safety_014,flight_safety,multi_context,test,旅客在机场控制区内应遵守哪些基本规定？对于禁止随身携带但可以托运的物品，旅客有哪些处理方式？,旅客应接受安全检查，不得强占座位、行李架等，不得妨碍机组和安检人员履行职责。对于禁止随身但可托运的物品，可按安检机构指引办理托运、自行处置或在机场条件允许时暂存。,"[""旅客及其行李应依法接受民用航空安全检查。"", ""不得强占座位、行李架、安检通道或登机口。"", ""禁止随身但允许托运的物品可办理托运、自行处置或暂存。"", ""需要航空公司批准的特殊物品应提前取得承运同意。"", ""故意隐匿危险品、违禁品等将由公安机关依法处理。""]","[""旅客可以拒绝接受安全检查。"", ""禁止随身但可托运的物品只能暂存。""]","[""73a2b505e07c4b9320aea16255ac556812913fde9c0177b7436ab054566a3a8c"", ""f24a18db984413d00c4fe4f5c537068dc9d0df7b241449691ca7567923f6ff30""]",approved,user_reviewed,
flight_safety_015,flight_safety,multi_context,test,对于境内航班，充电宝在CCC标识和召回产品方面有什么限制？另外，对于其他禁止随身但可托运的物品，旅客应如何处理？,自2025年6月28日起，境内航班禁止携带没有CCC标识或CCC标识不清晰的充电宝，属于召回型号或批次的充电宝也不得携带。对于禁止随身但可托运的物品，可按安检机构指引办理托运、自行处置或在机场条件允许时暂存。,"[""自2025年6月28日起，境内航班禁止携带没有CCC标识的充电宝。"", ""属于召回型号或批次的充电宝不得携带乘坐境内航班。"", ""禁止随身但可托运的物品可按安检机构指引办理托运、自行处置或暂存。"", ""需要航空公司批准的特殊物品应提前取得承运同意。"", ""不得在行李中故意隐匿危险品或违禁品。""]","[""只要有CCC标识，充电宝就一定可以携带。"", ""所有充电宝都可以办理托运。""]","[""f24a18db984413d00c4fe4f5c537068dc9d0df7b241449691ca7567923f6ff30"", ""abb9b8d641e54e739ff6b9971061249c679c4da6deeaa945f6331716a3cb614e""]",approved,user_reviewed,
flight_safety_016,flight_safety,multi_context,test,旅客携带充电宝乘坐境内航班时，除了需要确认CCC标识清晰和未被召回外，还应满足哪些条件？,充电宝必须同时符合民航关于额定能量、随身携带、航空公司批准和机上使用的要求，且通常不得托运，乘机期间应遵守机组和航空公司的使用要求。,"[""充电宝需符合额定能量要求"", ""充电宝通常不得托运"", ""乘机期间应遵守使用要求""]","[""只要CCC标识清晰即可携带"", ""充电宝可以托运""]","[""abb9b8d641e54e739ff6b9971061249c679c4da6deeaa945f6331716a3cb614e"", ""1f2a355e9f6c3929c4258805867235d3c2512a295f981d3c320f976ad48cec79""]",approved,user_reviewed,
flight_safety_017,flight_safety,unanswerable,test,乘坐国内航班时，旅客能否在机舱内使用蓝牙耳机？,知识库中未提供关于蓝牙耳机的使用规定，建议咨询航空公司。,"[""知识库未提及蓝牙耳机使用规则""]","[""蓝牙耳机可以在飞行全程使用"", ""蓝牙耳机属于禁止携带物品""]",[],approved,user_reviewed,
flight_safety_018,flight_safety,unanswerable,test,旅客在机场安检时，如果携带的充电宝额定能量标识模糊不清，但自认为容量很小，是否可以携带？,知识库中未明确说明额定能量标识模糊但可能容量小的处理方式，仅要求CCC标识清晰，建议以安检判断为准。,"[""知识库未涉及标识模糊但容量小的处理""]","[""额定能量标识模糊的充电宝可以携带"", ""容量小的充电宝无需标识""]",[],approved,user_reviewed,
flight_safety_019,flight_safety,noise_conflict,test,一个额定能量为120Wh的充电宝，旅客已获得航空公司批准，最多可以随身携带几个？,最多可以携带两块。,"[""额定能量100-160Wh需经批准"", ""每名旅客最多携带两块""]","[""120Wh充电宝无需批准"", ""可以携带三块""]","[""eef5a59fb2105a2f74f4e0970918a5969dcec75b163f850343ec96333bc66461""]",approved,user_reviewed,
flight_safety_020,flight_safety,noise_conflict,test,乘坐国内航班时，旅客携带的化妆水瓶上标称容量为200mL，但实际剩余液体不到100mL，是否可以随身携带？,不可以，因为限制判断看容器标称容积，而非瓶内剩余量。,"[""国内航班化妆品容器容积不得超过100mL"", ""限制看标称容积而非剩余量""]","[""可以，因为剩余量小于100mL""]","[""5c82f39b6579876bcfae28cf419620cf3602e14628a4c4396839eab059ca1bfd""]",approved,user_reviewed,
highspeed_rail_safety_001,highspeed_rail_safety,single_hop,dev,《铁路旅客禁止、限制携带和托运物品目录》从何时开始实施？,2022年7月1日。,"[""目录自2022年7月1日起施行"", ""特定区域或特定时期可能依法提高查控标准"", ""携带酒类、喷雾、工具、锂电池等物品前应在铁路12306查询完整目录或咨询乘车站""]","[""该目录从2023年1月1日开始执行"", ""所有物品都可以通过商品名称判断能否携带""]","[""3093e20f15ade84e3480035f2f09e368f3d2d14780ee2bef630269f294199578""]",approved,user_reviewed,
highspeed_rail_safety_002,highspeed_rail_safety,single_hop,dev,乘坐高铁时，旅客需要携带什么证件？,购票时使用的本人有效身份证件。,"[""旅客应持购票时使用的本人有效身份证件乘车"", ""列车开车前会提前停止检票"", ""铁路对免费携带品重量和尺寸设有限制""]","[""可以使用他人的身份证件乘车"", ""开车前15分钟都可以检票""]","[""3282d8da127beee3d3927e5821b38996788ddf127ba23548e4e6d791ddd90a8d""]",approved,user_reviewed,
highspeed_rail_safety_003,highspeed_rail_safety,single_hop,dev,特殊重点旅客需要提前多久进行线上预约？,一般应在乘车前6小时提交。,"[""线上预约一般应在乘车前6小时提交"", ""不足6小时的应到乘车站现场提出"", ""涉及中转换乘时，应为每一段行程分别申请""]","[""线上预约可以在开车前1小时提交"", ""中转换乘只需要申请一次""]","[""bff6be426a8893118a0ca73b94bf43a7ad7f1a6e8f0825ebc6180807230438e2""]",approved,user_reviewed,
highspeed_rail_safety_004,highspeed_rail_safety,single_hop,dev,携带充电宝乘坐高铁时，单块额定能量一般不得超过多少？,100Wh。,"[""充电宝和锂电池须有清晰标志"", ""单块额定能量一般不得超过100Wh"", ""电动轮椅配套电池除外""]","[""充电宝可以超过100Wh只要标志清晰"", ""所有锂电池都不能超过100Wh""]","[""4ff580f16bda08538b359d2cd3f8f66c9bd11b5460d812a8414ef42e20cf97f8""]",approved,user_reviewed,
highspeed_rail_safety_005,highspeed_rail_safety,single_hop,test,乘坐动车组列车时，每件物品外部尺寸的长、宽、高之和通常不能超过多少？,130厘米。,"[""每件物品外部尺寸长、宽、高之和通常不超过130厘米"", ""儿童免费携带品10千克，外交人员35千克，其他旅客20千克"", ""每件物品重量通常不超过20千克""]","[""每件物品外部尺寸长、宽、高之和不超过160厘米"", ""所有列车对物品尺寸要求相同""]","[""2209f9f8e1b89ac274c60d9205838c964cdf05aa10483b851aa33ebc7a59261e""]",approved,user_reviewed,
highspeed_rail_safety_006,highspeed_rail_safety,single_hop,test,旅客因证件未携带或丢失时，如何办理临时乘车身份证明？,可前往车站铁路公安制证口办理临时乘车身份证明；符合条件的中国居民身份证旅客也可在铁路12306 APP申请电子临时乘车身份证明。,"[""旅客可前往车站铁路公安制证口办理临时乘车身份证明"", ""符合条件的中国居民身份证旅客可在铁路12306 APP申请电子临时乘车身份证明""]","[""临时乘车身份证明可用于所有铁路业务"", ""电子临时乘车身份证明适用于所有旅客""]","[""6254a5aa0ecb8bebf8cf21c0c1f2affbdfc1644564f8d9ebf5c040517a9599e4""]",approved,user_reviewed,
highspeed_rail_safety_007,highspeed_rail_safety,single_hop,test,在站台候车时，旅客应遵守哪些安全规定？,旅客应有序进站乘车，听从工作人员引导，在站台安全线以内候车。禁止追赶未停稳或已经启动的列车，不得抢上抢下、横穿股道、跳下站台或进入铁路线路。,"[""旅客应在站台安全线以内候车"", ""禁止追赶未停稳或已经启动的列车"", ""不得抢上抢下、横穿股道、跳下站台或进入铁路线路""]","[""旅客可以在站台安全线外候车"", ""追赶已启动的列车是允许的""]","[""30e717d4c3784f848a37a0decdf6330ebd9a4f158c972e3ec1869d283c98cec7""]",approved,user_reviewed,
highspeed_rail_safety_008,highspeed_rail_safety,single_hop,test,在动车组列车上，关于吸烟有哪些规定？,动车组列车全程各部位严禁吸烟，包括卫生间和连接处。在动车组或其他列车禁烟区域吸烟，可能被责令改正并受到处罚，也可能被纳入铁路旅客信用信息记录。,"[""动车组列车全程各部位严禁吸烟"", ""在禁烟区域吸烟可能受到处罚并被纳入信用记录""]","[""动车组列车上允许在卫生间吸烟"", ""吸烟只会被口头警告""]","[""099ee1c36a634186b7a6776f09bcfae60c8cc924536a6e43c3d1a614675a92a2""]",approved,user_reviewed,
highspeed_rail_safety_009,highspeed_rail_safety,paraphrase,test,铁路部门关于禁止和限制携带物品的最新规定从什么时候开始正式实施？,目录自2022年7月1日起施行。,"[""目录自2022年7月1日起施行""]","[""目录自2023年1月1日起施行""]","[""3093e20f15ade84e3480035f2f09e368f3d2d14780ee2bef630269f294199578""]",approved,user_reviewed,
highspeed_rail_safety_010,highspeed_rail_safety,paraphrase,test,乘坐火车时，旅客需要满足哪些证件要求？,旅客应持购票时使用的本人有效身份证件乘车，确保票、证、人一致。,"[""旅客应持购票时使用的本人有效身份证件乘车"", ""票、证、人需一致""]","[""可以使用他人的身份证件乘车"", ""无需核对证件""]","[""3282d8da127beee3d3927e5821b38996788ddf127ba23548e4e6d791ddd90a8d""]",approved,user_reviewed,
highspeed_rail_safety_011,highspeed_rail_safety,paraphrase,test,需要依靠轮椅出行的旅客，若想在车站获得优先安检和引导帮扶服务，最晚可以什么时候去车站现场提出申请？,现场申请通常不得晚于开车前60分钟。,"[""特殊重点旅客服务可以线上或现场申请"", ""线上预约一般需在乘车前6小时提交"", ""现场申请通常不得晚于开车前60分钟""]","[""特殊重点旅客服务在任何时间都可以线上预约"", ""现场申请可以在开车前30分钟办理""]","[""bff6be426a8893118a0ca73b94bf43a7ad7f1a6e8f0825ebc6180807230438e2""]",approved,user_reviewed,
highspeed_rail_safety_012,highspeed_rail_safety,paraphrase,test,乘坐高铁时，旅客携带的充电宝和锂电池有什么规定？,充电宝和锂电池须有清晰标志，单块额定能量一般不得超过100Wh，电动轮椅配套电池除外。,"[""充电宝和锂电池必须有清晰标志"", ""单块额定能量一般不超过100Wh"", ""电动轮椅配套电池不受100Wh限制""]","[""所有充电宝都可以携带上高铁"", ""充电宝额定能量可以超过100Wh""]","[""4ff580f16bda08538b359d2cd3f8f66c9bd11b5460d812a8414ef42e20cf97f8""]",approved,user_reviewed,
highspeed_rail_safety_013,highspeed_rail_safety,multi_context,test,老、幼、病、残、孕等重点旅客使用的折叠轮椅和婴儿车，需要计入普通携带品重量和尺寸限制吗？如果不使用购票时的身份证件，应该怎么办？,重点旅客使用的折叠轮椅和随行婴儿使用的折叠婴儿车可免费携带且不计入普通携带品范围。若有效身份证件未携带或丢失，可到车站铁路公安制证口办理临时乘车身份证明，或符合条件的可在12306 APP申请电子临时乘车身份证明。,"[""折叠轮椅和折叠婴儿车不计入普通携带品范围"", ""未携带身份证件可到车站办理临时乘车身份证明"", ""符合条件的旅客可用12306 APP申请电子临时乘车身份证明""]","[""折叠轮椅和婴儿车必须计入行李重量限制"", ""临时乘车身份证明可用于购票以外的任何场合""]","[""2209f9f8e1b89ac274c60d9205838c964cdf05aa10483b851aa33ebc7a59261e"", ""6254a5aa0ecb8bebf8cf21c0c1f2affbdfc1644564f8d9ebf5c040517a9599e4""]",approved,user_reviewed,
highspeed_rail_safety_014,highspeed_rail_safety,multi_context,test,旅客在站台候车时，应该遵守哪些安全规定？如果携带的身份证件丢失，如何乘车？,应在站台安全线以内候车，禁止追赶未停稳或已启动的列车，不得抢上抢下、横穿股道、跳下站台或进入铁路线路。证件丢失可到车站铁路公安制证口办理临时乘车身份证明，或符合条件的在12306 APP申请电子临时乘车身份证明。,"[""旅客应在安全线以内候车"", ""禁止追赶未停稳或已启动的列车"", ""不得抢上抢下、横穿股道、跳下站台"", ""有效身份证件丢失可办理临时乘车身份证明""]","[""旅客可以在站台上奔跑赶车"", ""临时乘车身份证明可以用于所有身份验证场合""]","[""6254a5aa0ecb8bebf8cf21c0c1f2affbdfc1644564f8d9ebf5c040517a9599e4"", ""30e717d4c3784f848a37a0decdf6330ebd9a4f158c972e3ec1869d283c98cec7""]",approved,user_reviewed,
highspeed_rail_safety_015,highspeed_rail_safety,multi_context,test,在动车组列车上，哪些区域禁止吸烟？如果看到有人吸烟，会有什么后果？,动车组列车全程各部位严禁吸烟，包括卫生间和连接处。在禁烟区域吸烟可能被责令改正、受到处罚，并可能被纳入铁路旅客信用信息记录。,"[""动车组列车全程禁止吸烟"", ""卫生间和连接处也禁止吸烟"", ""吸烟可能被责令改正并处罚"", ""吸烟可能被纳入铁路信用信息记录""]","[""动车组吸烟只在车厢内禁止"", ""吸烟只会被口头警告""]","[""30e717d4c3784f848a37a0decdf6330ebd9a4f158c972e3ec1869d283c98cec7"", ""099ee1c36a634186b7a6776f09bcfae60c8cc924536a6e43c3d1a614675a92a2""]",approved,user_reviewed,
highspeed_rail_safety_016,highspeed_rail_safety,multi_context,test,在动车组列车上，旅客携带酒类或锂电池时，除了遵守《铁路旅客禁止、限制携带和托运物品目录》外，还应遵守哪些车内安全规定？,车内严禁吸烟；列车电源仅用于手机、平板电脑和笔记本电脑等小型电子产品充电，不得使用大功率电器或私接插线板；行李应封闭平稳放置，尖角、沉重物品放入大件行李处；儿童需注意安全，防止奔跑、攀爬或触碰电茶炉和制动设施。目录自2022年7月1日起施行，具体携带要求应以12306最新目录或车站咨询为准。,"[""动车组列车全程各部位严禁吸烟。"", ""列车电源主要用于手机、平板电脑和笔记本电脑等小型电子产品充电。"", ""禁止使用电水壶等大功率电器和私接多功能插线板。"", ""行李应封闭并平稳放置，尖角、沉重和杆状物品应放入大件行李处或座椅下。"", ""携带儿童的旅客应防止儿童在车厢内奔跑、攀爬或触碰电茶炉和制动设施。"", ""《铁路旅客禁止、限制携带和托运物品目录》自2022年7月1日起施行。"", ""携带酒类、锂电池等物品前应在铁路12306查询完整目录或咨询乘车站。""]","[""动车组上允许在卫生间吸烟。"", ""列车电源可以用于电水壶等大功率电器。""]","[""099ee1c36a634186b7a6776f09bcfae60c8cc924536a6e43c3d1a614675a92a2"", ""3093e20f15ade84e3480035f2f09e368f3d2d14780ee2bef630269f294199578""]",approved,user_reviewed,
highspeed_rail_safety_017,highspeed_rail_safety,unanswerable,test,在高铁列车上，如果发生火灾，旅客应如何正确使用列车上的灭火器？,知识库中未提供关于高铁列车灭火器使用方法的说明。,[],"[""高铁列车上配备有灭火器，且旅客可以直接使用。"", ""发生火灾时旅客应自行使用灭火器扑救。""]",[],approved,user_reviewed,
